Nr,Service,Fase ,S/M/L,Service omschrijving,Activiteiten,Deliverable,Klant,Doorloop,Sales: laag,Sales: hoog,Omvang bepalende factoren,Tijd: client lead,Tijd: content lead,Tijd: sr consultant,Tijd: design,Tijd: copy/trainer,Kostprijs,Verkoop (2.5)
1.1,Inspiratiesessie,Title,,,,,,,,,,,,,,,,
1.1,Inspiratiesessie: Cultural Archetypes,Definitie,M,"In een inspirerende sessie verdiepen we het inzicht van jouw leiderschapsteam in wat cultuur werkelijk betekent en hoe je als organisatie doelgericht en consistent kunt bouwen aan het gewenste culturele DNA. We introduceren de culturele archetypes en illustreren deze met concrete best practices die laten zien hoe toonaangevende bedrijven hun strategie en cultuur elkaar laten versterken.","- Korte intake call van 30 minuten met onze contactpersoon om de business-context, huidige cultuur en organisatie inrichting en de dynamiek binnen het leiderschapsteam te begrijpen
- 2 uur durende interactieve sessie met het volledige leiderschapsteam waarin we de basisprincipes van cultuurvorming en concrete best practices behandelen en dmv van interactie met de groep samen tot een eerste analyse van voor jullie relevante aandachtspunten komen.","Korte geschreven wrap up met algemene observaties en voor jullie relevante culturele aandachtspunten + uitkomsten van de interactieve survey.",Leiderschapsteam,1 week,"€ 1.000","€ 1.500",nvt,0,0,"0,75",0,0,"€ 487,50","€ 1.218,75"
1.2,Culturele Diagnose,Title,,,,,,,,,,,,,,,,
1.2,Culturele Diagnose,Definitie,S,"Op basis van een expert scan van al jullie bestaande documentatie en processen formuleren we concrete actiepunten en een solide basis voor jullie culturele roadmap.","- Intake gesprek met contactpersoon om alle input tav missie, DNA & functiebeschrijvingen en culturele practices tav leiderschap, team en rewards in kaart te brengen.
- Op basis van jullie input doen we een expert scan van al je huidige documentatie en processen tav jullie bedrijfsmissie/beoogd onderscheidend vermogen, de formulering en inbedding van jullie beoogde cultureel DNA en de inrichting van jullie aanpak en toepassing van jullie processen in leiderschap, teamontwikkeling en beloning.","Obv de expert scan formuleren we een rapport met de belangrijkste inzichten, aandachtspunten en concrete aanbevelingen tav van de definitie, inbedding en implementatie van jullie beoogde culturele DNA.",Contactpersoon,2 weken,"€ 3.500","€ 5.000","- Wat willen ze in de CD: alleen een expert scan, aangevuld met interviews en/of evt een survey.","0,5",2,"0,5",0,0,"€ 1.550","€ 3.875"
1.2,Culturele Diagnose,Definitie,M,"Op basis van een expert scan uit van al jullie bestaande documentatie en processen en een aantal interviews van specifieke sleutelspelers binnen jullie team formuleren we concrete actiepunten en een solide basis voor jullie culturele roadmap.","- Op basis van jullie input doen we een expert scan van al je huidige documentatie en processen.
- We doen een serie van 6 tot 8 kwalitatieve interviews (1-op-1) met sleutelspelers binnen jullie organisatie.","Obv de expert scan en de kwalitatieve interviews formuleren we een rapport met de belangrijkste inzichten, aandachtspunten en concrete aanbevelingen en verzorgen we een presentatie.",Contactpersoon + 6-8 sleutelspelers,3 weken,"€ 6.500","€ 8.500","Standaard interview-pakket; aantal interviews bepaalt scope.",1,4,1,0,0,"€ 3.100","€ 7.750"
1.2,Culturele Diagnose,Definitie,L,"Op basis van een expert scan van al jullie bestaande documentatie en processen, een aantal interviews van specifieke sleutelspelers binnen jullie team en de inzichten uit een bedrijfsbrede survey formuleren we concrete actiepunten en een solide basis voor jullie culturele roadmap.","- Expert scan, interviews en kwantitatieve bedrijfsbrede survey.","Rapport + presentatie obv expert scan, interviews en survey.",Contactpersoon + 6-8 sleutelspelers + hele team (via de survey),5 weken,"€ 10.500","€ 12.500","Aantal interviews + standaardisatie van de survey.",2,6,"1,5",0,0,"€ 4.875","€ 12.187,50"
1.3,Mission statement,Title,,,,,,,,,,,,,,,,
1.3,Mission statement,Definitie,M,"We helpen je leiderschapsteam om de drijfveren, ambitie en het beoogd onderscheidend vermogen van je bedrijf helder en precies te formuleren, zodat dit kunnen dienen als een richtinggevende doelstelling bij het formuleren van je winnende culturele DNA.","- Founder interview ter voorbereiding.
- Strategische sessie met leiderschapsteam.
- Oplevering & presentatie.","Compacte (branded) presentatie met marktdynamieken, onderscheidend vermogen en missie statement (why/how/what).",Leiderschapsteam,4 weken,"€ 4.500","€ 5.500","1-2 duidelijke leiders / klein LT.","0,75",2,2,0,0,"€ 2.637,50","€ 6.593,75"
1.3,Mission statement,Definitie,L,"We helpen je leiderschapsteam om de drijfveren, ambitie en het beoogd onderscheidend vermogen van je bedrijf helder en precies te formuleren, zodat dit kunnen dienen als een richtinggevende doelstelling bij het formuleren van je winnende culturele DNA.","- Meerdere leadership interviews.
- Twee strategische sessies met leiderschapsteam.
- Oplevering & presentatie.","Compacte (branded) presentatie met marktdynamieken, onderscheidend vermogen en missie statement.",Leiderschapsteam,4 weken,"€ 7.000","€ 8.500","Groter leiderschaps-/ownership-team.",1,3,2,0,0,"€ 3.250","€ 8.125"
1.4,Cultureel DNA,Title,,,,,,,,,,,,,,,,
1.4,Cultureel DNA,Definitie,S,"We begeleiden jou en je team bij het aanscherpen van jullie unieke winnende culturele DNA en bijbehorende voorbeeld gedragingen.","Kick-off + 1 co-writing sessie + 1 feedbackronde met leiderschapsteam.","Aangescherpt Cultureel DNA + voorbeeld gedragingen.",Leiderschapsteam,2 weken,"€ 4.500","€ 5.500","Concrete bestaande waarden aanscherpen met LT.","1,5",2,"0,5",0,0,"€ 2.000","€ 5.000"
1.4,Cultureel DNA,Definitie,M,"We begeleiden jou en je team bij het formuleren van jullie unieke winnende culturele DNA en bijbehorende voorbeeld gedragingen.","- Co-writing team samenstellen en briefen.
- 3 co-writing sessies (2 op locatie, 1 remote).
- Terugkoppeling aan leiderschapsteam.","Cultureel DNA + voorbeeld gedragingen.",Co-writing team,4 weken,"€ 7.500","€ 8.500","Standaard werkwijze met co-writing team.",3,3,"0,5",0,0,"€ 3.175","€ 7.937,50"
1.4,Cultureel DNA,Definitie,L,"We begeleiden jou en je team bij het formuleren en valideren van jullie unieke winnende culturele DNA en bijbehorende voorbeeld gedragingen.","- Co-writing team + briefing.
- 3 co-writing sessies.
- Extra iteratie-sessie met klankbordgroep.
- Terugkoppeling aan leiderschapsteam.","Cultureel DNA + voorbeeld gedragingen.",Co-writing team + klankbordgroep,5 weken,"€ 10.000","€ 12.000","Standaard + extra feedback ronde klankbordgroep.","3,5",4,1,0,0,"€ 4.225","€ 10.562,50"
1.5,Career Framework,Title,,,,,,,,,,,,,,,,
1.5,Career Framework,Definitie,S,"Wij helpen jou en je expert leads om jullie culturele DNA te verankeren in een duidelijk, bedrijfsbreed carrière framework.","- Structuur carrière framework opstellen.
- Briefing expert leads.
- Concept-functieprofielen + aanscherping.","Carrière framework, groeipaden en functieprofielen.",Contactpersoon + expert leads,4 weken,"€ 4.500","€ 6.500","Klein team, 1 groeipad + losse functies.",2,2,"0,5",0,0,"€ 2.225","€ 5.562,50"
1.5,Career Framework,Definitie,M,"Wij helpen jou en je expert leads om jullie culturele DNA te verankeren in een duidelijk, bedrijfsbreed carrière framework.","- Structuur + briefing + concept-functieprofielen.","Carrière framework, groeipaden en functieprofielen.",Contactpersoon + expert leads,5 weken,"€ 7.500","€ 10.000","Verschillende groeipaden + losse functies.",3,3,1,0,0,"€ 3.500","€ 8.750"
1.5,Career Framework,Definitie,L,"Wij helpen jou en je expert leads om jullie culturele DNA te verankeren in een duidelijk, bedrijfsbreed carrière framework.","- Structuur + briefing + concept-functieprofielen.","Carrière framework, groeipaden en functieprofielen.",Contactpersoon + expert leads,6 weken,"€ 11.500","€ 14.500","Groot team of veel losse rollen.",4,5,"1,5",0,0,"€ 5.275","€ 13.187,50"
1.6,Rollen & Rituelen,Title,,,,,,,,,,,,,,,,
1.6,Rollen en Rituelen,Definitie,M,"We helpen je om jullie culturele DNA centraal te plaatsen in strak ontworpen teamvormende processen en rollen: van employer branding en werving tot onboarding, talent ontwikkeling en performance management.","- Scan huidige inrichting + werksessies + aanbeveling.","Aanbeveling op inrichting cultuur gedreven teamprocessen en bijbehorende rollen.",Kernteam,4 weken,"€ 3.500","€ 5.500","Standaard team + aanscherping.",2,2,"0,5",0,0,"€ 2.225","€ 5.562,50"
1.6,Rollen en Rituelen,Definitie,L,"We helpen je om jullie culturele DNA centraal te plaatsen in strak ontworpen teamvormende processen en rollen.","- Scan + 3 werksessies + aanbeveling.","Aanbeveling op inrichting cultuur gedreven teamprocessen en bijbehorende rollen.",Kernteam,6 weken,"€ 6.500","€ 8.500","Groter team / meer change management.",3,3,1,0,0,"€ 3.500","€ 8.750"
1.8,Manifesto booklet,Title,,,,,,,,,,,,,,,,
1.8,Cultural Manifesto booklet,Definitie,M,"We maken jullie custom branded Cultureel Manifest: een inspirerend handboek waarin alle belangrijkste informatie over jullie Missie, jullie Culturele DNA en jullie werkwijze worden samengebracht in een logisch, strak en onderscheidend verhaal gericht aan huidige en toekomstige teamleden.","- Concept design + indeling.
- Gezamenlijke werksessie.
- Def ontwerp.","Custom branded Cultureel Manifest, klaar om te drukken.",Kernteam,2 weken,"€ 2.500","€ 3.500",Standaard.,1,"0,5",0,0,1,"€ 1.300","€ 3.250"
1.8,Cultural Manifesto booklet,Definitie,L,"We maken jullie custom branded Cultureel Manifest.","- Concept design + uitgebreidere co-creatie + def ontwerp.","Custom branded Cultureel Manifest, klaar om te drukken.",Kernteam,3 weken,"€ 4.000","€ 6.000","Groter team / beperkter voorwerk.",2,1,0,0,"1,5","€ 2.300","€ 5.750"
2.1,Launch support,Title,,,,,,,,,,,,,,,,
2.1,Launch support,Implementatie,M,"Je Culturele DNA lanceren doe je maar 1 keer. Wij helpen je er een leuke en informatieve dag van te maken door je lancering te begeleiden zowel qua inhoud, design en als interactie met je team.","- Begeleiding & design launch presentatie.
- Korte inspiratiesessie.
- Voorbereiding & hosting Culture Quiz.","Volledig gefaciliteerde Culture Launch op locatie naar keuze.",Kernteam,2 weken,"€ 1.500","€ 2.500",Standaard.,1,1,0,0,0,"€ 950","€ 2.375"
2.1,Launch support,Implementatie,L,"Je Culturele DNA lanceren doe je maar 1 keer. Wij helpen je er een leuke en informatieve dag van te maken door je lancering te begeleiden zowel qua inhoud, design en als interactie met je team.","- Begeleiding & design launch presentatie + extra uitingen (banners/merch).
- Korte inspiratiesessie.
- Voorbereiding & hosting Culture Quiz.","Volledig gefaciliteerde Culture Launch op locatie naar keuze.",Kernteam,2 weken,"€ 4.500","€ 6.500","Extra branded uitingen of activiteiten gewenst.","1,5",1,,2,0,"€ 2.075","€ 5.187,50"
2.2,Leadership training,Title,,,,,,,,,,,,,,,,
2.2,Mentor training,Implementatie,M,"Goede leiders zijn de belangrijkste dragers van jullie cultuur en vormen de cruciale schakel tussen strategie en de dagelijkse uitvoering. Onze Mentor-training maakt onderdeel uit van onze leiderschapstrainingen en is bedoeld voor zowel startende als meer ervaren mentoren die talentontwikkeling begeleiden en input leveren voor de performance evaluaties binnen jouw organisatie.","- Mentor-profiel opstellen / aanscherpen.
- Self-assessment deelnemers.
- 2 trainingssessies (tot 10 deelnemers, 4 uur, 2 trainers).
- Recap + post read (branded Mentor profiel + cheatsheet).","Mentor self-assessment, training sessions + recap.",Contactpersoon + deelnemers,4 - 6 weken,"€ 5.500","€ 6.500","Standaard 2 sessies.",3,0,2,0,0,"€ 2.650","€ 6.625"
2.2,Team Lead training,Implementatie,M,"Goede leiders zijn de belangrijkste dragers van jullie cultuur en vormen de cruciale schakel tussen strategie en de dagelijkse uitvoering. Onze Team Lead-training maakt onderdeel uit van onze leiderschapstrainingen en is bedoeld voor zowel startende als meer ervaren Team Leads.","- Team Lead-profiel opstellen / aanscherpen.
- Self-assessment.
- 3 trainingssessies (tot 10 deelnemers, 4 uur, 2 trainers).
- Recap + post read.","Team Lead self-assessment, training sessies + recap.",Contactpersoon + deelnemers,8 - 12 weken,"€ 8.000","€ 10.000","Standaard 3 sessies.",3,1,0,0,3,"€ 3.650","€ 9.125"
2.2,MT training,Implementatie,M,"Goede leiders zijn de belangrijkste dragers van jullie cultuur en vormen de cruciale schakel tussen strategie en de dagelijkse uitvoering. Onze MT-training maakt onderdeel uit van onze leiderschapstrainingen en is bedoeld voor zowel startende als meer ervaren Management Team-leden.","- MT-profiel opstellen / aanscherpen.
- Self-assessment.
- 5 trainingssessies (tot 8 deelnemers, 4 uur, 2 trainers).
- Recap + post read.","MT self-assessment, training sessies + recap.",Contactpersoon + deelnemers,6 - 12 maanden,"€ 13.500","€ 16.500","Standaard 5 sessies.",5,1,0,0,5,"€ 5.750","€ 14.375"
2.3,Platform implementatie,Title,,,,,,,,,,,,,,,,
2.3,Platform implementatie,Implementatie,S,"Het SUMM platform helpt jullie als team gemakkelijker bij te dragen aan al je culturele practices.","- Implementatie opgeleverde content + key-user training.","Branded SUMM omgeving, gevuld met cultuur/teams/profielen.",Contactpersoon,1 week,"€ 750","€ 1.500","Content al verzameld in voortraject.",,,,,,,
2.3,Platform implementatie,Implementatie,L,"Het SUMM platform helpt jullie als team gemakkelijker bij te dragen aan al je culturele practices.","- Content opvragen + invoeren + key-user training.","Branded SUMM omgeving, gevuld met cultuur/teams/profielen.",Contactpersoon,2 weken,"€ 3.200","€ 5.100","Content nog op te halen en invoeren.",,,,,,,
2.4,Platform licentie,Title,,Aantal users,,,,,Licentie ex btw,,,,,,,,,
2.4,Platform licentie,Implementatie,S,"Onbeperkte toegang tot het SUMM platform voor je hele team. Inclusief alle modules en alle toekomstige updates.",,,,,"€ 300","€ 375","<30",,,,,,,
2.4,Platform licentie,Implementatie,M,"Onbeperkte toegang tot het SUMM platform voor je hele team. Inclusief alle modules en alle toekomstige updates.",,,,,"€ 400","€ 475","30 / 50",,,,,,,
2.4,Platform licentie,Implementatie,L,"Onbeperkte toegang tot het SUMM platform voor je hele team. Inclusief alle modules en alle toekomstige updates.",,,,,"€ 500","€ 575","50+",,,,,,,
2.5,Feedback training,Title,,,,,,,,,,,,,,,,
2.5,Feedback training,Implementatie,S,"Feedback is de brandstof voor elke sterke cultuur. In onze feedback training leren de deelnemers alle skills om bij te dragen aan een gezonde feedbackcultuur.","- Intake + pre-read + 1 trainingssessie + recap.","Pre-read, trainingssessie, recap.",Contactpersoon + deelnemers,3 weken,"€ 3.500","€ 4.000","1 groep (max ~10).","1,5","1,5",0,0,0,"€ 1.425","€ 3.562,50"
2.5,Feedback training,Implementatie,M,"Feedback is de brandstof voor elke sterke cultuur.","- Intake + pre-read + 2-3 trainingssessies + recap.","Pre-read, trainingssessie, recap.",Contactpersoon + deelnemers,3 weken,"€ 4.500","€ 5.500","2-3 groepen (max ~10).",2,2,0,0,0,"€ 1.900","€ 4.750"
2.5,Feedback training,Implementatie,L,"Feedback is de brandstof voor elke sterke cultuur, waarin teamleden elkaar open en vol vertrouwen feedback geven, ongeacht hun positie in het team.","- Intake + pre-read + 3-5 trainingssessies + recap.","Pre-read, trainingssessie, recap.",Contactpersoon + deelnemers,3 - 5 weken,"€ 6.500","€ 8.500","~5 groepen (max ~10).",3,3,0,0,0,"€ 2.850","€ 7.125"
2.6,Rewards,Title,,,,,,,,,,,,,,,,
2.6,Reward strategie,Definitie,M,"Op basis van jullie beoogde culturele DNA, een uitvoerige scan van jullie huidige aanpak rondom beloning en jullie employer value proposition formuleren we onze aanbeveling voor jullie optimaal passende beloningsstrategie.","- Intake + 2 werksessies + aanbeveling + implementatieplan.","Aanbeveling voor een bij Cultureel DNA passende beloningsstrategie.",Kernteam / LT,4 weken,"€ 4.500","€ 6.000","Klein team, besluitvaardig LT.","0,5",1,2,0,0,"€ 2.025","€ 5.062,50"
2.6,Reward strategie,Definitie,L,"Op basis van jullie beoogde culturele DNA, een uitvoerige scan van jullie huidige aanpak rondom beloning en jullie employer value proposition formuleren we onze aanbeveling voor jullie optimaal passende beloningsstrategie.","- Intake + 2 werksessies + aanbeveling + implementatieplan.","Aanbeveling voor een bij Cultureel DNA passende beloningsstrategie.",Kernteam / LT,6 weken,"€ 8.500","€ 11.000","Groter team / CAO / flinke aanpassing.",1,2,4,0,0,"€ 4.050","€ 10.125"
